model,feature,importance,abs_importance,direction
Logistic Regression,categorical__hospital_type_Critical Access Hospitals,-0.371255299962538,0.371255299962538,negative
Logistic Regression,categorical__hospital_ownership_Government - Federal,-0.03309099902081966,0.03309099902081966,negative
Logistic Regression,categorical__hospital_ownership_Government - Hospital District or Authority,-0.5577933941118681,0.5577933941118681,negative
Logistic Regression,categorical__hospital_ownership_Government - Local,-0.09996392750704808,0.09996392750704808,negative
Logistic Regression,categorical__hospital_ownership_Government - State,-0.6967660677368757,0.6967660677368757,negative
Logistic Regression,categorical__hospital_ownership_Physician,0.297526515295486,0.297526515295486,positive
Logistic Regression,categorical__hospital_ownership_Proprietary,-0.41109290947388244,0.41109290947388244,negative
Logistic Regression,categorical__hospital_ownership_Tribal,0.30689677876003146,0.30689677876003146,positive
Logistic Regression,categorical__hospital_ownership_Veterans Health Administration,0.6506631982844044,0.6506631982844044,positive
Logistic Regression,categorical__hospital_ownership_Voluntary non-profit - Church,0.27544923474957284,0.27544923474957284,positive
Logistic Regression,categorical__hospital_ownership_Voluntary non-profit - Other,0.042114754818405,0.042114754818405,positive
Logistic Regression,categorical__hospital_ownership_Voluntary non-profit - Private,0.19627277196164614,0.19627277196164614,positive
Logistic Regression,categorical__emergency_services_No,0.25256190722761324,0.25256190722761324,positive
Logistic Regression,categorical__emergency_services_Yes,-0.2823459512085496,0.2823459512085496,negative
Logistic Regression,categorical__state_AK,-0.10163785996897577,0.10163785996897577,negative
Logistic Regression,categorical__state_AL,-0.5090670107526135,0.5090670107526135,negative
Logistic Regression,categorical__state_AR,-0.6586987879669255,0.6586987879669255,negative
Logistic Regression,categorical__state_AZ,-0.511293361913944,0.511293361913944,negative
Logistic Regression,categorical__state_CA,0.024312256350580933,0.024312256350580933,positive
Logistic Regression,categorical__state_CO,1.092818046304308,1.092818046304308,positive
Logistic Regression,categorical__state_CT,0.08107497402349935,0.08107497402349935,positive
Logistic Regression,categorical__state_DC,-0.9781719008350058,0.9781719008350058,negative
Logistic Regression,categorical__state_DE,-0.6410506699473525,0.6410506699473525,negative
Logistic Regression,categorical__state_FL,0.16732013189092784,0.16732013189092784,positive
Logistic Regression,categorical__state_GA,-0.41111440607330213,0.41111440607330213,negative
Logistic Regression,categorical__state_GU,-0.06922688365737563,0.06922688365737563,negative
Logistic Regression,categorical__state_HI,0.2393105147702602,0.2393105147702602,positive
Logistic Regression,categorical__state_IA,0.2818349056588527,0.2818349056588527,positive
Logistic Regression,categorical__state_ID,-1.2843982765064577,1.2843982765064577,negative
Logistic Regression,categorical__state_IL,-0.308222572471324,0.308222572471324,negative
Logistic Regression,categorical__state_IN,0.3904928535911587,0.3904928535911587,positive
Logistic Regression,categorical__state_KS,0.2527699885253379,0.2527699885253379,positive
Logistic Regression,categorical__state_KY,-0.5695654143347195,0.5695654143347195,negative
Logistic Regression,categorical__state_LA,-0.2226289784827383,0.2226289784827383,negative
Logistic Regression,categorical__state_MA,-0.30644079241780137,0.30644079241780137,negative
Logistic Regression,categorical__state_MD,-0.6744326572437992,0.6744326572437992,negative
Logistic Regression,categorical__state_ME,-0.3256297827781799,0.3256297827781799,negative
Logistic Regression,categorical__state_MI,-0.24572519002458929,0.24572519002458929,negative
Logistic Regression,categorical__state_MN,0.5757214217290635,0.5757214217290635,positive
